0.312243,0.58034,0,0,0,0.312243,0.58034,0.6,0.6,5.19994,0,0
0.735008,0.629142,7.21178,-1.46287e-17,5.89885e-18,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686,74.4774
1.16051,0.494921,7.2149,-0.127131,-0.0118476,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996,0.220628
1.25787,0.53314,7.1998,0.122279,0.0305126,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781,1.82547
1.61596,0.595331,7.21355,0.161263,0.0462054,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597,0.166701
1.85116,0.562258,5.9961,0.0268453,-0.227217,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323,7.52421
2.16248,0.591836,5.99603,0.0414668,-0.172345,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932,0.25138
2.37819,0.63827,5.57704,0.0602018,-0.311302,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389,5.98965
2.65447,0.656006,5.57532,0.0494332,-0.293322,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654,0.00610898
2.92091,0.650007,5.50816,0.00353324,-0.437536,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668,0.331378
3.15585,0.646498,5.46306,-0.00949246,-0.40721,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415,1.16145
3.44188,0.542497,5.50058,-0.158791,-0.826659,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818,1.32882
3.74524,0.429778,5.57475,-0.280066,-1.05966,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576,2.1639
4.02542,0.514573,5.54051,-0.14168,-0.533412,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724,4.08543
4.29899,0.507114,5.51966,-0.134385,-0.450935,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614,0.344985
4.55817,0.546191,5.41286,-0.0900436,-0.304031,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238,1.89276
